<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>
WC,140101,605.25,605.25,605.25,605.25,0
WC,140102,599.00,599.00,595.00,597.00,39720
WC,140103,605.75,606.00,605.50,605.75,49188
WC,140106,605.75,605.75,605.75,605.75,49188
WC,140107,604.50,604.50,602.00,602.50,45799
WC,140108,590.00,590.00,587.00,588.75,55310
WC,140109,588.50,588.50,579.50,584.25,67643
WC,140110,588.00,588.00,568.50,569.00,110226
WC,140113,573.50,574.00,573.50,573.50,110226
WC,140114,573.75,579.25,573.75,579.25,58021
WC,140115,569.00,569.00,567.50,567.75,38950
WC,140116,566.25,573.00,566.00,572.75,48891
WC,140117,563.75,564.00,563.00,563.50,48891
WC,140120,563.50,563.50,563.50,563.50,0
WC,140121,562.25,564.00,562.00,562.25,39481
WC,140122,561.00,562.25,561.00,561.25,39481
WC,140123,570.00,570.50,561.25,570.00,47326
WC,140124,562.75,565.25,562.75,565.25,47326
WC,140127,571.50,571.50,563.50,563.50,44294
WC,140128,567.50,568.00,566.00,566.00,44294
WC,140129,553.75,553.75,550.00,551.50,84576
WC,140130,554.50,554.50,552.50,553.50,84576
WC,140131,556.75,556.75,555.75,555.75,62117
WC,140203,555.75,563.75,555.75,563.75,45491
WC,140204,568.00,584.50,568.00,584.50,84912
WC,140205,585.50,587.50,585.50,587.50,84912
WC,140206,589.00,589.00,580.00,580.75,76582
WC,140207,586.50,586.50,576.50,577.50,101476
WC,140210,585.00,586.00,584.75,584.75,101476
WC,140211,589.50,590.25,584.75,590.25,94447
WC,140212,586.25,590.25,586.25,587.00,94447
WC,140213,595.50,595.50,587.00,595.50,91588
WC,140214,601.00,601.00,597.00,598.50,65904
WC,140217,598.50,598.50,598.50,598.50,0
WC,140218,607.50,612.00,607.50,612.00,67231
WC,140219,617.75,620.25,617.75,620.25,67231
WC,140220,611.25,613.50,611.25,613.50,72261
WC,140221,608.50,608.50,605.50,605.50,72261
WC,140224,604.00,617.25,604.00,617.00,58028
WC,140225,618.50,618.50,618.00,618.00,79422
WC,140226,605.50,618.00,605.50,605.50,79422
WC,140227,602.25,603.75,588.50,589.25,79777
WC,140228,595.50,602.25,595.50,602.25,79777
WC,140303,629.00,634.00,629.00,631.50,131057
WC,140304,626.00,643.50,625.00,643.50,131057
WC,140305,636.50,643.50,636.50,642.50,71031
WC,140306,643.75,646.00,643.75,646.00,55838
WC,140307,656.00,656.00,653.00,654.00,75765
WC,140310,650.00,653.25,640.00,640.75,75765
WC,140311,646.00,659.00,646.00,659.00,68111
WC,140312,680.00,685.00,680.00,683.75,80625
WC,140313,677.00,677.00,671.75,673.75,80625
WC,140314,686.00,689.00,685.50,687.25,78940
WC,140317,676.00,676.00,674.50,674.50,63971
WC,140318,679.00,692.50,679.00,692.50,50345
WC,140319,715.50,715.75,715.00,715.75,89394
WC,140320,706.00,715.75,703.75,703.75,94704
WC,140321,703.50,703.50,691.00,693.25,94704
WC,140324,703.00,714.50,703.00,714.50,65088
WC,140325,710.00,714.50,708.25,708.25,65088
WC,140326,696.00,697.00,696.00,696.75,55708
WC,140327,710.75,710.75,710.50,710.50,55708
WC,140328,701.75,701.75,695.50,695.50,54754
WC,140331,688.75,697.25,688.75,697.25,75550
WC,140401,690.50,690.50,684.50,685.25,75550
WC,140402,674.75,674.75,669.00,669.25,67749
WC,140403,675.50,676.00,675.50,676.00,66959
WC,140404,667.00,670.50,667.00,669.75,51599
WC,140407,669.50,677.50,669.50,676.25,63690
WC,140408,670.50,682.00,670.50,681.00,68552
WC,140409,677.00,677.00,668.00,669.00,96035
WC,140410,658.25,662.25,658.00,662.25,96035
WC,140411,663.25,663.25,659.50,660.25,77610
WC,140414,680.50,681.75,678.00,678.75,75164
WC,140415,686.75,709.75,686.75,709.75,66218
WC,140416,714.50,714.50,695.25,695.25,75193
WC,140417,697.50,699.00,695.25,699.00,75193
WC,140418,699.00,699.00,699.00,699.00,0
WC,140421,699.00,699.00,675.50,675.50,58233
WC,140422,679.00,679.50,675.50,679.50,69020
WC,140423,676.00,683.75,676.00,682.75,69020
WC,140424,682.75,696.50,682.75,696.50,76035
WC,140425,707.50,709.50,696.50,708.25,76035
WC,140428,708.00,710.00,700.50,708.50,62802
WC,140429,712.00,716.50,712.00,716.50,62802
WC,140430,717.00,722.75,716.50,721.50,62285
WC,140501,713.50,713.50,707.00,707.25,62285
WC,140502,716.00,716.00,707.25,716.00,55337
WC,140505,724.25,735.00,723.50,729.00,60636
WC,140506,738.50,739.00,729.00,739.00,60636
WC,140507,736.75,739.00,736.75,737.75,55629
WC,140508,735.00,735.25,735.00,735.25,47795
WC,140509,729.50,733.50,721.50,722.50,69817
WC,140512,707.75,715.00,707.75,715.00,69817
WC,140513,715.00,715.00,709.25,709.25,51870
WC,140514,690.50,691.50,690.25,690.25,65904
WC,140515,687.00,687.00,678.00,678.25,65904
WC,140516,674.00,674.25,674.00,674.25,57240
