
prix du blé en EUR - Historique des Prix 
date 	          fermeture 	ouverture 	hausse 	bas
15.10.2019 	178.25 	180.00 	180.50 	177.75
14.10.2019 	180.25 	180.50 	181.00 	179.00
11.10.2019 	180.00 	177.50 	180.25 	177.25
10.10.2019 	177.00 	178.75 	179.00 	176.75
09.10.2019 	178.75 	177.75 	179.00 	177.25
08.10.2019 	178.00 	176.00 	178.25 	175.75
07.10.2019 	176.50 	176.00 	176.75 	175.50
04.10.2019 	176.25 	176.25 	176.50 	175.50
03.10.2019 	176.25 	174.75 	176.50 	174.50
02.10.2019 	174.50 	175.25 	176.25 	174.25
01.10.2019 	175.25 	175.50 	176.00 	174.50
30.09.2019 	174.75 	174.00 	175.00 	173.50
27.09.2019 	174.00 	173.00 	174.50 	173.00
26.09.2019 	173.00 	171.25 	173.25 	171.25
25.09.2019 	170.75 	170.50 	171.25 	170.25
24.09.2019 	170.25 	171.00 	171.50 	170.25
23.09.2019 	171.75 	171.75 	172.25 	171.50
20.09.2019 	171.25 	171.75 	172.25 	171.00
19.09.2019 	171.75 	171.25 	172.50 	171.00
18.09.2019 	171.50 	171.50 	172.00 	170.50
17.09.2019 	171.00 	171.50 	171.50 	170.50
16.09.2019 	171.75 	170.25 	172.00 	169.50
13.09.2019 	170.25 	169.00 	171.75 	169.00
12.09.2019 	169.50 	169.50 	170.25 	167.75
11.09.2019 	169.25 	170.00 	170.25 	169.00
10.09.2019 	157.50 	153.00 	158.00 	153.00
09.09.2019 	153.00 	158.25 	158.50 	151.25
06.09.2019 	158.50 	158.00 	159.00 	158.00
05.09.2019 	159.00 	158.25 	159.75 	158.25
04.09.2019 	158.25 	161.50 	161.75 	157.75
03.09.2019 	161.00 	163.50 	164.50 	160.50
02.09.2019 	163.75 	165.00 	165.00 	163.25
30.08.2019 	164.25 	165.00 	165.25 	163.75
29.08.2019 	165.75 	166.25 	166.25 	165.50
28.08.2019 	166.00 	167.00 	167.00 	165.50
27.08.2019 	167.00 	166.25 	167.50 	165.50
26.08.2019 	166.25 	165.00 	167.00 	165.00
23.08.2019 	165.50 	165.50 	166.25 	165.25
22.08.2019 	165.75 	165.00 	165.75 	164.50
21.08.2019 	165.00 	165.50 	165.75 	164.25
20.08.2019 	165.50 	165.75 	166.75 	165.00
19.08.2019 	165.75 	166.75 	167.50 	165.75
16.08.2019 	168.00 	168.00 	168.50 	167.75
15.08.2019 	168.00 	166.75 	168.25 	166.50
14.08.2019 	166.75 	167.00 	168.00 	166.25
13.08.2019 	166.25 	167.25 	167.75 	166.00
12.08.2019 	167.25 	170.00 	171.00 	166.75
09.08.2019 	170.50 	169.75 	171.50 	169.75
08.08.2019 	170.00 	170.00 	170.75 	168.25
07.08.2019 	170.00 	171.25 	171.25 	169.50
06.08.2019 	170.75 	172.75 	173.00 	170.50
05.08.2019 	172.75 	172.50 	173.25 	172.00
02.08.2019 	173.25 	173.25 	173.75 	173.00
01.08.2019 	173.00 	175.25 	175.25 	173.00
31.07.2019 	174.75 	176.50 	176.75 	174.50
30.07.2019 	177.00 	175.50 	177.00 	175.25
29.07.2019 	175.75 	175.75 	176.75 	175.00
26.07.2019 	175.25 	175.25 	175.75 	174.75
25.07.2019 	175.75 	175.00 	176.00 	174.50
24.07.2019 	175.25 	174.50 	176.25 	174.50
23.07.2019 	174.50 	174.75 	175.00 	173.25
22.07.2019 	174.75 	175.50 	175.75 	174.50
19.07.2019 	177.00 	175.00 	177.25 	174.50
18.07.2019 	174.75 	176.50 	176.50 	174.50
17.07.2019 	176.75 	175.75 	177.75 	174.75
16.07.2019 	175.50 	176.00 	176.50 	175.00
15.07.2019 	176.75 	179.25 	179.25 	176.25
12.07.2019 	178.25 	177.50 	179.25 	177.00
11.07.2019 	176.75 	173.75 	177.50 	173.50
10.07.2019 	173.50 	172.75 	174.00 	172.25
09.07.2019 	173.00 	175.50 	175.50 	173.00
08.07.2019 	176.75 	179.00 	179.25 	176.50
05.07.2019 	178.25 	179.50 	179.50 	177.25
04.07.2019 	179.50 	178.75 	179.75 	178.50
03.07.2019 	178.50 	176.75 	179.00 	176.50
02.07.2019 	177.00 	177.75 	179.00 	176.50
01.07.2019 	178.25 	180.00 	180.75 	177.75
28.06.2019 	180.25 	182.25 	183.75 	179.75
27.06.2019 	182.25 	184.25 	184.75 	181.50
26.06.2019 	182.75 	182.75 	184.00 	181.25
25.06.2019 	183.50 	184.25 	185.25 	182.00
24.06.2019 	183.75 	180.50 	184.00 	180.00
21.06.2019 	180.75 	181.00 	181.25 	179.00
20.06.2019 	180.00 	178.50 	180.25 	177.50
19.06.2019 	179.00 	180.50 	180.75 	178.50
18.06.2019 	181.00 	181.75 	182.25 	180.50
17.06.2019 	182.75 	182.25 	183.75 	181.50
14.06.2019 	180.75 	178.75 	181.25 	178.50
13.06.2019 	178.75 	178.25 	180.50 	177.00
12.06.2019 	177.25 	177.25 	178.75 	176.50
11.06.2019 	177.75 	177.00 	178.50 	175.75
10.06.2019 	177.25 	178.25 	178.25 	176.75
07.06.2019 	179.00 	178.75 	180.00 	178.50
06.06.2019 	179.50 	178.50 	180.00 	177.75
05.06.2019 	179.00 	179.75 	180.25 	178.50
04.06.2019 	182.50 	184.00 	185.00 	182.25
03.06.2019 	185.25 	185.00 	187.75 	183.00
31.05.2019 	185.25 	185.50 	186.00 	183.25
30.05.2019 	185.25 	181.50 	185.75 	179.50
29.05.2019 	184.25 	187.25 	190.00 	181.50
28.05.2019 	184.75 	184.75 	185.25 	183.00
27.05.2019 	182.00 	179.50 	182.50 	179.25
24.05.2019 	178.00 	175.00 	178.25 	174.75
23.05.2019 	175.50 	175.25 	177.25 	174.75
22.05.2019 	175.00 	175.00 	175.25 	173.00
21.05.2019 	176.25 	176.75 	178.25 	175.25
20.05.2019 	176.00 	174.75 	176.50 	174.75
17.05.2019 	173.75 	174.25 	175.25 	173.25
